title,author(s),length
Blood Pact,Dan Abnett,Length: 10 hrs and 55 mins
Dungeon Life: An Isekai LitRPG,Khenal,Length: 15 hrs and 29 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
The Year of the Locust,Terry Hayes,Length: 29 hrs and 17 mins
Governor,"Richard Fox,David Weber",Length: 20 hrs and 36 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
Retire with Confidence,A.E. Samuel,Length: 4 hrs and 31 mins
Suitcases from Heaven,Cindy Seaton Henson,Length: 8 hrs and 2 mins
Yuletide Yowl,Danielle Garrett,Length: 5 hrs and 5 mins
The Tower Series Book 5,Seth Ring,Length: Not Yet Known
Yoda: Dark Rendezvous,Sean Stewart,Length: 14 hrs
Hell Divers XI: Renegades,Nicholas Sansbury Smith,Length: 13 hrs and 4 mins
He's Not My Type,Meghan Quinn,Length: 11 hrs and 40 mins
Outlander,Diana Gabaldon,Length: 32 hrs and 38 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
Dark Lord of the Farmstead: Part 3,John Broadway,Length: 11 hrs and 51 mins
The Atlas Maneuver,Steve Berry,Length: 13 hrs and 20 mins
Dying to Be Her,Gregg Olsen,Length: 9 hrs and 8 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
First Line of Defense 2,Benjamin Kerei,Length: 11 hrs and 40 mins
Dom,S.J. Tilly,Length: 12 hrs and 25 mins
The Ever King,LJ Andrews,Length: 12 hrs and 57 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
Otherwhere,"Andrea Smith,M.J. Rigel",Length: 7 hrs and 54 mins
Becoming the Voice of God,Emma Stark,Length: 7 hrs and 45 mins
Emily Wilde's Map of the Otherlands,Heather Fawcett,Length: 12 hrs and 4 mins
Enemies to Lovers,Portia MacIntosh,Length: 8 hrs and 4 mins
Shine,"Gino Wickman,Rob Dube",Length: 5 hrs and 15 mins
Separation,Seth Ring,Length: 13 hrs and 15 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Dead Tired I,RavensDagger,Length: 9 hrs and 43 mins
